,treatments_count,rating,reviews,is_prescription_only,number_side_effects,price,months_since_approval,name,dosage_form,date_of_approval,route_of_administration,abuse,treatments_count_T,rating_T,reviews_T,number_side_effects_T,price_T,months_since_approval_T,months_rating_reviews_kmeans,months_effects_kmeans
0,1.0,7.28,47.39999999999999,1.0,84.0,524833.0699999998,38.30800821355237,Abecma,Suspension for Intravenous Infusion,"March 26, 2021",Parenteral,0,0.0,0.6943820224719103,0.04020408163265306,0.9540229885057471,0.8565257665889067,0.14278625480709592,1,2
1,2.0,7.98,254.39999999999998,1.0,2.0,4463.44,13.273100616016421,Abilify Asimtufii,Extended-Release Injectable Suspension,"April 27, 2023",Parenteral,0,0.0625,0.7730337078651687,0.25142857142857145,0.011494252873563218,0.0072746746524864556,0.04825704006947025,1,0
2,2.0,6.2,63.0,1.0,2.0,2236.4700000000003,135.16221765913758,Abilify Maintena,for Extended-Release Injectable Suspension,"February 28, 2013",Parenteral,0,0.0625,0.5730337078651686,0.056122448979591844,0.011494252873563218,0.003640225992964089,0.5084977049993797,2,3
3,3.0,7.38,154.79999999999998,1.0,21.0,1673.3000000000002,232.870636550308,Abraxane,for Injectable Suspension,"January 7, 2005",Parenteral,0,0.125,0.70561797752809,0.14979591836734696,0.22988505747126436,0.002721124051050542,0.8774345614688004,0,1
4,9.0,6.3,706.0,1.0,19.0,2925.3,54.63655030800821,Abrilada,Injection,"November 15, 2019",Parenteral,0,0.5,0.5842696629213484,0.7122448979591838,0.20689655172413796,0.004764406951907762,0.20444113633544223,3,0
5,1.0,7.2,160.2,1.0,7.0,320.1400000000003,12.15605749486653,Abrysvo,Injection,"May 31, 2023",Parenteral,0,0.0,0.6853932584269664,0.15530612244897957,0.06896551724137931,0.0005127465030282125,0.04403920109167596,1,0
6,1.0,7.859999999999999,50.999999999999986,0.0,3.0,1037.25,160.8870636550308,Abstral,Sublingual Tablets,"January 7, 2011",Oral,1,0.0,0.7595505617977528,0.043877551020408155,0.022988505747126436,0.0016830808489017915,0.6056320555762312,2,3
7,1.0,7.8,60.60000000000002,1.0,3.0,1058.29,201.13347022587268,ACAM2000,,"August 31, 2007",Other,0,0.0,0.752808988764045,0.05367346938775513,0.022988505747126436,0.0017174184465328106,0.7575983128644088,0,1
8,1.0,7.5,56.0,1.0,2.0,564.9700000000003,187.43326488706364,Acanya,Topical Gel,"October 21, 2008",Topical,0,0.0,0.7191011235955057,0.0489795918367347,0.011494252873563218,0.000912312759111977,0.7058677583426374,2,1
9,2.0,6.76,91.99999999999999,0.0,1.0,1058.29,196.36960985626283,Accretropin,,"January 23, 2008",Other,0,0.0625,0.6359550561797753,0.0857142857142857,0.0,0.0017174184465328106,0.7396104701649919,0,1
